field_id,soil_ph,organic_matter,sand_pct,temperature,humidity,rainfall,ndvi,yield
F00001,6.25,2.66,41.6,25.2,70,110.2,0.46,4105.8
F00002,6.7,3.66,40.2,26.9,78,126.3,0.59,4247.8
F00003,7.21,3.45,40.0,27.6,66,109.4,0.64,4021.8
F00004,5.73,2.48,56.9,29.6,79,155.3,0.62,4326.8
F00005,6.88,3.61,30.6,25.0,80,172.6,0.62,3708.0
F00006,6.32,1.62,53.2,27.1,69,171.1,0.63,4832.7
F00007,5.91,3.46,37.6,24.9,80,126.1,0.71,4331.1
F00008,6.31,2.02,41.5,26.7,65,118.7,0.53,4077.9
F00009,5.65,2.22,42.6,25.2,72,121.9,0.62,4357.4
F00010,6.89,2.73,39.1,29.0,65,123.0,0.64,3741.8
F00011,6.01,2.62,32.8,25.5,71,106.6,0.61,3617.7
F00012,6.12,2.8,33.4,26.5,70,110.7,0.72,4322.2
F00013,5.74,2.86,38.9,26.4,72,117.2,0.63,3605.7
F00014,7.23,2.33,54.7,29.2,69,100.7,0.55,4491.3
F00015,6.49,1.94,34.0,28.5,79,103.8,0.7,4700.4
F00016,6.64,3.42,52.3,24.3,84,155.9,0.57,4982.6
F00017,6.64,2.5,38.7,24.4,80,149.5,0.59,4653.9
F00018,6.32,2.76,56.5,27.3,81,175.6,0.6,4961.2
F00019,5.89,3.11,42.8,26.6,75,132.1,0.51,3533.3
F00020,6.99,3.77,35.2,25.7,66,135.5,0.65,4338.3
F00021,5.75,3.27,59.6,28.8,65,105.4,0.43,3747.1
F00022,5.71,1.61,35.3,24.8,81,112.2,0.7,3867.7
F00023,6.92,3.6,47.0,29.8,65,155.3,0.66,4601.8
F00024,5.92,3.97,47.1,24.1,66,118.8,0.52,3879.2
F00025,6.11,2.68,41.2,24.7,81,161.9,0.48,3769.7
F00026,6.45,3.92,58.5,25.9,68,156.5,0.54,4057.8
F00027,6.4,2.87,55.3,27.1,76,159.8,0.68,3624.9
F00028,6.92,2.65,54.9,25.3,74,155.2,0.41,3719.7
F00029,6.75,2.33,59.2,28.4,74,156.6,0.56,3719.7
F00030,6.79,3.14,43.7,26.1,79,143.7,0.49,3839.1
F00031,6.93,2.07,32.9,24.2,75,154.3,0.71,4806.1
F00032,6.09,1.76,53.0,29.3,71,142.1,0.54,3942.9
F00033,6.14,1.57,41.4,29.7,74,116.5,0.64,3910.8
F00034,6.38,2.23,35.7,27.7,83,117.4,0.53,3689.0
F00035,6.11,2.49,44.5,28.8,82,132.4,0.52,3524.2
F00036,7.47,2.88,57.8,24.7,66,101.1,0.51,3740.6
F00037,7.13,2.23,35.1,25.6,71,171.1,0.64,4584.5
F00038,5.83,3.96,55.5,26.0,78,121.5,0.74,4954.8
F00039,5.51,2.23,42.5,29.8,75,104.1,0.47,4615.7
F00040,5.59,2.6,34.1,27.1,65,134.0,0.63,4779.8
F00041,5.99,1.76,55.5,24.0,84,165.2,0.49,4680.1
F00042,5.73,2.15,59.1,26.3,69,131.8,0.59,3944.1
F00043,6.57,1.62,38.7,24.0,68,121.0,0.59,4596.8
F00044,7.22,2.9,39.1,25.4,78,143.6,0.56,4625.9
F00045,6.97,3.38,41.7,26.7,67,146.0,0.57,3887.8
F00046,5.93,1.99,54.4,25.9,82,160.7,0.71,4881.0
F00047,6.3,2.42,30.3,24.2,82,164.0,0.43,4996.9
F00048,6.52,1.54,36.7,24.7,68,156.5,0.69,4341.9
F00049,7.12,3.6,51.2,27.3,67,100.4,0.56,3974.9
F00050,7.18,3.45,42.2,28.2,74,100.2,0.52,4036.4
F00051,7.32,1.66,39.9,26.4,80,178.2,0.46,4373.7
F00052,6.52,2.41,56.2,28.4,67,121.1,0.69,3511.7
F00053,6.89,3.89,57.5,25.0,83,122.6,0.61,3962.5
F00054,5.72,2.48,58.4,24.7,84,158.6,0.65,3573.5
F00055,6.63,2.82,38.2,29.0,79,146.5,0.51,4436.3
F00056,6.0,2.39,57.4,26.0,69,137.1,0.54,4406.1
F00057,6.36,2.99,52.1,26.6,75,109.3,0.72,4386.6
F00058,6.77,3.95,34.6,29.7,73,106.5,0.74,3726.5
F00059,6.01,3.99,48.3,26.5,77,156.3,0.66,4916.8
F00060,5.6,3.44,30.8,24.0,75,110.0,0.66,4301.3
F00061,5.52,2.51,51.3,29.6,78,134.9,0.64,4333.8
F00062,5.54,2.74,52.0,24.1,65,158.9,0.61,4316.4
F00063,5.52,2.39,53.7,28.0,73,173.9,0.61,4286.6
F00064,5.72,3.96,35.2,25.9,77,169.9,0.74,4907.6
F00065,5.98,3.27,48.8,26.8,66,169.1,0.66,4403.0
F00066,5.94,2.62,35.4,27.3,68,128.7,0.63,4227.7
F00067,7.47,1.53,58.4,26.5,80,174.2,0.47,4649.7
F00068,6.11,2.8,50.3,28.6,74,154.7,0.74,3877.2
F00069,5.75,3.96,32.9,29.6,70,170.9,0.58,3788.0
F00070,6.59,2.81,35.6,24.5,73,107.1,0.73,4158.8
F00071,7.22,1.96,49.9,28.8,66,103.2,0.65,3523.5
F00072,6.86,1.56,44.3,24.8,65,134.4,0.41,3940.3
F00073,6.09,2.39,52.1,24.5,76,166.2,0.59,4130.1
F00074,6.62,3.8,38.4,29.7,80,132.7,0.71,4368.0
F00075,6.93,3.99,49.7,26.9,66,170.8,0.42,4314.8
F00076,6.96,3.86,35.3,24.9,77,118.8,0.7,4051.1
F00077,6.83,3.32,46.3,27.4,72,103.1,0.61,4014.9
F00078,7.24,2.9,58.7,25.6,65,160.9,0.42,3502.0
F00079,7.24,2.98,48.8,26.8,69,150.1,0.53,4821.7
F00080,6.66,2.85,31.5,27.7,74,135.2,0.41,3846.9
F00081,6.36,3.27,59.7,29.2,67,167.6,0.4,4037.0
F00082,6.78,2.55,34.7,24.0,75,165.9,0.71,3530.4
F00083,7.14,3.17,51.5,25.3,69,126.0,0.66,4935.3
F00084,5.51,1.8,46.0,24.6,76,167.0,0.5,4241.9
F00085,7.48,2.16,38.8,24.6,76,127.6,0.44,3534.9
F00086,5.87,3.59,35.3,29.7,77,149.8,0.42,3876.8
F00087,6.44,3.76,35.3,29.6,78,115.4,0.72,4818.9
F00088,7.24,2.85,55.8,28.5,68,121.1,0.62,4063.6
F00089,5.95,1.58,56.2,27.9,67,135.8,0.46,4534.1
F00090,6.45,3.82,44.0,29.1,81,125.2,0.64,4420.8
F00091,5.77,3.26,33.1,24.4,72,110.3,0.75,4207.9
F00092,6.29,2.54,56.5,24.7,80,138.6,0.68,4749.8
F00093,5.85,3.0,44.6,25.9,75,140.9,0.56,3560.5
F00094,6.23,2.57,43.2,29.0,69,112.7,0.68,4868.6
F00095,6.25,2.66,42.2,26.8,80,113.9,0.66,4577.1
F00096,7.49,3.72,41.0,27.0,73,102.3,0.43,4795.6
F00097,7.49,1.9,45.8,25.4,77,102.4,0.72,3525.4
F00098,5.73,1.76,48.1,27.9,72,128.7,0.71,3627.2
F00099,6.95,1.51,44.0,29.3,69,111.7,0.61,3808.8
F00100,5.6,2.29,56.9,26.0,73,173.5,0.58,4390.3
F00101,5.56,1.87,39.5,27.7,70,116.0,0.48,3638.6
F00102,5.71,2.05,47.3,26.0,66,105.3,0.69,4897.3
F00103,7.43,1.53,39.0,28.8,71,132.3,0.55,4622.9
F00104,7.38,2.07,52.6,26.8,81,115.4,0.6,4711.4
F00105,5.89,2.33,33.1,26.0,76,104.9,0.46,4375.8
F00106,5.82,1.58,35.7,26.5,65,160.2,0.47,4446.4
F00107,5.98,3.02,54.0,24.5,79,144.6,0.74,3831.6
F00108,6.53,2.92,35.5,29.2,75,104.6,0.57,4865.1
F00109,6.64,1.74,48.8,29.7,74,137.4,0.69,4473.4
F00110,5.94,2.99,59.1,26.9,80,103.1,0.69,4126.6
F00111,7.01,4.0,45.7,25.3,73,128.3,0.74,4822.5
F00112,6.12,3.86,35.6,28.0,76,129.1,0.74,4795.7
F00113,7.34,1.51,39.6,26.7,79,165.8,0.56,3500.8
F00114,6.81,3.49,54.7,25.5,80,158.8,0.73,4887.3
F00115,6.37,2.38,40.5,24.2,65,171.8,0.53,4045.1
F00116,7.08,1.66,51.7,29.3,70,111.2,0.61,4133.2
F00117,7.14,2.24,53.3,28.8,77,142.7,0.69,3628.0
F00118,6.08,2.3,45.0,29.0,65,101.6,0.72,4816.4
F00119,6.18,2.81,53.5,26.6,77,166.0,0.58,4308.8
F00120,7.37,3.15,39.5,28.5,69,129.3,0.55,4858.6
F00121,5.83,3.37,45.5,27.5,67,105.5,0.65,4671.2
F00122,5.58,2.11,50.6,26.2,76,126.0,0.56,4847.0
F00123,6.41,2.3,35.0,29.1,74,123.0,0.64,4922.4
F00124,7.1,2.27,38.2,30.0,73,161.3,0.68,4828.9
F00125,7.04,2.41,49.6,29.4,81,110.1,0.69,3814.8
F00126,7.34,4.0,49.7,28.7,70,144.5,0.49,3605.2
F00127,6.57,3.44,44.8,28.5,78,163.5,0.6,4430.4
F00128,5.7,3.94,53.9,27.9,67,159.2,0.41,3732.6
F00129,6.68,3.23,44.5,29.1,82,174.9,0.68,4794.7
F00130,7.06,2.52,56.4,27.0,71,100.1,0.44,4921.2
F00131,5.69,2.47,52.1,25.1,73,128.3,0.71,3681.9
F00132,5.85,2.72,39.4,28.6,79,129.6,0.54,3853.8
F00133,5.52,2.54,41.9,29.5,83,102.7,0.46,4437.8
F00134,6.69,3.57,50.0,26.0,80,165.4,0.68,4587.9
F00135,7.27,2.66,56.8,28.7,83,155.1,0.47,4268.5
F00136,6.84,2.24,35.4,25.6,83,142.2,0.54,4053.5
F00137,7.46,3.44,45.4,29.7,81,132.4,0.6,3959.0
F00138,5.63,3.64,33.6,28.1,70,171.6,0.53,4499.0
F00139,7.31,2.55,38.4,27.4,65,121.2,0.46,4616.8
F00140,7.13,3.17,50.6,28.7,83,126.8,0.54,3933.3
F00141,6.13,1.65,32.3,28.9,79,176.2,0.45,3989.0
